card_last4,transaction_date,posting_date,description,amount,type,installment_info
1234,2026-02-02,2026-02-03,GRAB*TRANSPORT A-71K3PQ,52000,debit,
5678,2026-02-03,2026-02-04,Retail IDN JAKARTA PUSAT Superindo,310000,debit,
9012,2026-02-05,2026-02-06,NETFLIX.COM,199000,debit,
1234,2026-02-07,2026-02-08,STARBUCKS COFFEE PLAZA SENAYAN,85000,debit,
5678,2026-02-09,2026-02-10,PLN PREPAID TOKEN LISTRIK,350000,debit,
9012,2026-02-11,2026-02-12,Retail IDN JAKARTA SELATAN Tokopedia,320000,debit,4/12
1234,2026-02-13,2026-02-14,SPOTIFY PREMIUM,59000,debit,
5678,2026-02-15,2026-02-16,APOTEK KIMIA FARMA 0128,98000,debit,
9012,2026-02-17,2026-02-18,RM PADANG SEDERHANA,38000,debit,
1234,2026-02-19,2026-02-20,SHELL SPBU 34.401,350000,debit,
5678,2026-02-21,2026-02-22,INDIHOME FIBER,499000,debit,
9012,2026-02-24,2026-02-25,INDOMARET CIKINI,55000,debit,
1234,2026-02-15,2026-02-16,PAYMENT THANK YOU,800000,credit,
